Company,Categories,PROVINCE,COMMENCEMENT OF CERTIFICATION,CERTIFICATE ISSUE DATE,CERTIFICATE EXPIRY DATE,CERTIFICATE NUMBER
Ocean Basket Franchise Thornhill Office Estate,Condiments,Midrand,10 Oct 25,10 Oct 25,28/02/2026,H786/NR038
KFC Springs Mall 19 Jan Smuts Road,Food Outlets,Gauteng,06/10/2025,06/10/2025,28/02/2026,1313
KFC Benoni-Lakeside Square Shopping Centre,Food Outlets,Gauteng,06/10/2025,06/10/2025,28/02/2026,1312
The Lekker Meat Shop Gqeberha,Butchery,Gauteng,3 Oct 2025,3 Oct 2025,28/02/2026,H786/NR869
Meat Alis Deli,Butchery,Kwa Zulu Natal,3 Oct 2025,3 Oct 2025,28/02/2026,H786/NR1317
Azaleas Sweet Treats,Confectionery,Kwa Zulu Natal,2 Oct 2025,2 Oct 2025,28/02/2026,H786/NR1316
Albeltaje Beef,Butchery,Gauteng,3 Oct 2025,3 Oct 2025,28/02/2026,WR043
Urban Chicks,Distributor,Gauteng,9/26/2025,9/26/2025,28/02/2026,1315
Sambika,Condiments,Ivandry,9/25/2025,9/25/2025,28/02/2026,1314
Clippassales 722,Condiments,Gauteng,9/22/2025,9/22/2025,28/02/2026,1311
Puregas,Manufacturer,Gauteng,9/22/2025,9/22/2025,28/02/2026,1310
Fuel The Femme,Pharmaceuticals,Kwa Zulu Natal,9/22/2025,9/22/2025,28/02/2026,1309
Moment Supplements,Pharmaceuticals,Western Cape,9/22/2025,9/22/2025,28/02/2026,270
Toffee Applelicious,Confectionery,Gauteng,9/19/2025,9/19/2025,28/02/2026,1308
Siyathemba Catering,Caterer,Kwa Zulu Natal,9/18/2025,9/18/2025,28/02/2026,458
Allegra Foods,Meat Processor,Gauteng,9/18/2025,9/18/2025,28/02/2026,954
Robertsons Abattoir - Casings Division,Casings,Western Cape,9/17/2025,9/17/2025,28/02/2026,1244
Numo Meats,Beef & Sheep Abattoir,Western Cape,9/16/2025,9/16/2025,28/02/2026,1307
Blazed,Food Outlets,Gauteng,9/15/2025,9/15/2025,28/02/2026,1305
Masterchicken,Chicken Abattoir,North West,9/15/2025,9/15/2025,28/02/2026,1306
Becs Trading,Butchery,Kwa Zulu Natal,9/15/2025,9/15/2025,28/02/2026,1304
The Baking Company,Bakery,Western Cape,9/11/2025,9/11/2025,28/02/2026,1028
Forest Fairies Sweet Company,Confectionery,Kwa Zulu Natal,9/9/2025,9/9/2025,28/02/2026,597
Leepat Poultry,Chicken Abattoir,Kwa Zulu Natal,9/9/2025,9/9/2025,28/02/2026,1058
Perfectallround,Pharmaceuticals,Gauteng,9/11/2025,9/11/2025,1124,
Food Lovers Holdings (retail products),Food Outlets,Western Cape,9/12/2025,9/12/2025,28/02/2026,1302
Zeez Halaal Catering,Caterer,Gauteng,9/8/2025,9/8/2025,28/02/2026,1302
Imsyser Health,Pharmaceuticals,Tshwane,9/8/2025,9/8/2025,28/02/2026,628
Checkstar Crescent (Butcher Only),Butchery,Kwa Zulu Natal,9/8/2025,9/8/2025,28/02/2026,11
Conzas Biscuits in Soweto,Bakery,Gauteng,8/26/2025,8/26/2025,28/02/2026,909
Krispy Kreme Lynnridge Mall,Food Outlets,Tshwane,8/22/2025,8/22/2025,28/02/2026,1299
Nandos,Food Outlets,Western Cape,8/21/2025,8/21/2025,28/02/2026,1298
Profusion Food,Caterer,Gauteng,8/20/2025,8/20/2025,28/02/2026,1295
DKSH International,Dairy,Jalan Buroh,8/27/2025,8/27/2025,28/02/2026,623
Jolly Meats Musgrave,Butchery,Kwa Zulu Natal,8/26/2025,8/26/2025,28/02/2026,1167
Ting Tang Sweet Lovers,Snacks,Kwa Zulu Natal,8/26/2025,8/26/2025,28/02/2026,771
Whisked Cakery,Bakery,Kwa Zulu Natal,8/26/2025,8/26/2025,28/02/2026,1089
Love Coffee,Food Outlets,Kwa Zulu Natal,8/29/2025,8/29/2025,28/02/2026,1300
Pizzaboyz,Food Outlets,Kwa Zulu Natal,8/29/2025,8/29/2025,28/02/2026,309
Lefelo Foods,Snacks,Gauteng,8/13/2025,8/13/2025,28/02/2026,1193
Nandos Observatory,Food Outlets,Western Cape,2/14/2025,2/14/2025,28/02/2026,1229
Blast Vitality,Pharmaceuticals,Kwa Zulu Natal,8/7/2025,8/7/2025,28/02/2026,659
Zanna Skin,Cosmetics,Western Cape,8/6/2025,8/6/2025,28/02/2026,1296
G Mo's Halaal Butchery & Deli,Butchery,Gauteng,8/5/2025,8/5/2025,28/02/2026,WR040
Silvertrail Beverages,Beverages,Kwa Zulu Natal,7/31/2025,7/31/2025,28/02/2026,1293
Just Chicken,Food Outlets,Kwa Zulu Natal,7/31/2025,7/31/2025,28/02/2026,1292
Sky Food Colors & Oleoresins,Condiments,Gauteng,7/31/2025,7/31/2025,28/02/2026,1291
Vadas Bakery,Bakery,Western Cape,8/5/2025,8/5/2025,28/02/2026,1294
