name,product_name,halal_code,fda_number,barcode,expiry_date,company_name,company_address,company_email,cordinator_name,cordinator_contact,long_product_detail,image_link,category
AJE BIG BLUE HAWAII,CARBONATED DRINK APPLE FLAVOUR,92C0651091166,N/A,N/A,22/11/2025,"AJETHAI  CO., LTD.","700/318 Moo 6, Amata Nakorn Industrial Estate Soi 14, T. Donhualoh, A. Muang, Chonburi, 20000 Thailand., Don Hua Lo, Mueang Chon Buri, Chon Buri, 20000",Pornsiri.thammajit.th@ajegroup.com,Mr.Pakapon Phachanaphan,038-214-504 ต่อ  7249,CARBONATED DRINK APPLE FLAVOUR,https://halal.co.th/storages/products/741614.jpg,Services
"Compact Energy Co.,Ltd.","Diatomaceous Earth ""Radiolite""Brand / China",99D6900110164,N/A,N/A,21/01/2027,"COMPACT ENERGY CO.,LTD.","234-234/1 SOI SOONVIJAI 4, RAMA 9 RD., BANGKAPI, HUAYKWANG, BANGKOK 10310, THAILAND., Bang Kapi, Khet Huai Khwang, Bangkok, 10310",admin@zenithpower.co.th,MR. VICHIEN KITKRAILARD,081-804-4460,"Diatomaceous Earth ""Radiolite""Brand / China",https://halal.co.th/storages/products/556908.jpg,Services
Bento,Mixed Seafood Snack Sweet & Spicy Flavour,438691321067,N/A,8 850157 408158,10/10/2028,"SRINANAPORN MARKETING PUBLIC CO.,LTD (SETTHAKIT ROAD BRANCH)","234 Moo 4, Tambon Om Noi, Krathum Baen,Samut Sakhon 74130, Thailand., Om Noi, Krathum Baen, Samut Sakhon, 74130",pichet_sdf@snnp.co.th,Mr.Pichet  Puntawong,0-2023-4680-4,"Slightly brown colour, soft and elastic to semicrispy texture. Characteristic of grilled squid, hot, sweet and slightly sour taste, hot and spicy aroma. Short sheet with  a cross pattern.",https://halal.co.th/storages/products/794399.jpg,Services
Bento,Mixed Seafood Snack Sweet & Spicy Flavour,438691321067,N/A,8 850157 405836,10/10/2028,"SRINANAPORN MARKETING PUBLIC CO.,LTD (SETTHAKIT ROAD BRANCH)","234 Moo 4, Tambon Om Noi, Krathum Baen,Samut Sakhon 74130, Thailand., Om Noi, Krathum Baen, Samut Sakhon, 74130",pichet_sdf@snnp.co.th,Mr.Pichet  Puntawong,0-2023-4680-4,"Slightly brown colour, soft and elastic to semicrispy texture. Characteristic of grilled squid, hot, sweet and slightly sour taste, hot and spicy aroma. Short sheet with  a cross pattern.",https://halal.co.th/storages/products/802920.jpg,Services
,N/A,1004280010444,N/A,N/A,31/07/2025,,"Yan Ta Khao, Yan Ta Khao, Trang, 92140",,,"086-2680367, 075-281448 ต่อ 117",,https://halal.co.th/storages/products/340913.jpg,Services
Falcon,N/A,604300190644,11-1-22223-2-0002,8850188140201,01/06/2026,FRIESLAND CAMPINA (THAILAND) PUBLIC COMPANY LIMITED.,"388 5TH FLOOR S.P. BUILDING, PAHOLYOTHIN ROAD, SAMSENNAI, PHAYATHAI, BANGKOK, 10400, THAILAND, Samsen Nai, Khet Phaya Thai, Bangkok, 10400",uthaiwan.la-orkhun@frieslandcampina.com,-,0-2620-1900#1114,,https://halal.co.th/storages/products/284193.jpg,Services
Falcon,N/A,604302371058,N/A,8850188803106,01/06/2026,FRIESLAND CAMPINA (THAILAND) PUBLIC COMPANY LIMITED.,"388 5TH FLOOR S.P. BUILDING, PAHOLYOTHIN ROAD, SAMSENNAI, PHAYATHAI, BANGKOK, 10400, THAILAND, Samsen Nai, Khet Phaya Thai, Bangkok, 10400",uthaiwan.la-orkhun@frieslandcampina.com,-,0-2620-1900#1114,,https://halal.co.th/storages/products/536142.jpg,Services
MILDY,N/A,872490330944,25-1-04738-2-0142,8850425003863,11/12/2026,"EUROPEAN FOOD PUBLIC CO., LTD.","291 MOO 10, POOCHAOSAMINGPRAI ROAD, SOUTH SAMRONG, PRAPRADANG, SAMUTPRAKAN 10130, THAILAND., Samrong Tai, Phra Pradaeng, Samut Prakan, 10130",-,-,023843049,,https://halal.co.th/storages/products/345496.jpg,Services
MILDY,N/A,872490330944,25-1-04738-2-0142,8850425004457,11/12/2026,"EUROPEAN FOOD PUBLIC CO., LTD.","291 MOO 10, POOCHAOSAMINGPRAI ROAD, SOUTH SAMRONG, PRAPRADANG, SAMUTPRAKAN 10130, THAILAND., Samrong Tai, Phra Pradaeng, Samut Prakan, 10130",-,-,023843049,,https://halal.co.th/storages/products/536988.jpg,Services
SEA ELEPHANT,RICE FLOUR,779450010746,N/A,8859299311005,06/11/2027,"HOK SENG RICE FLOUR CO.,LTD.","118,120  SUKSAWAT ROAD, CHOMTHONG, CHOMTHONG, BANGKOK ,10150,THAILAND., Chom Thong, Khet Chom Thong, Bangkok, 10150",info@hokseng.com,nattha,0814897765,RICE FLOUR,https://halal.co.th/storages/products/501676.jpg,Services
N/A,100% Aromatic Coconut Water (250 ml),91T6030011167,73-2-00562-2-0001,8857200407014,06/11/2025,"Family Green Harvest Co.,Ltd.","111/25 Moo 11 Bangrakham, Banglane, Nakornphathom, 73130, Thailand., Bang Rakam, Bang Len, Nakhon Pathom, 73130",piyaporn@familygreenharvest.com,Piyaporn Phoosuphanusorn,0816435630,100% Aromatic Coconut Water (250 ml),https://halal.co.th/storages/products/778776.png,Services
Tipco,"65 % MIXED VEGETABLE JUICE & 35 % MIXED FRUIT JUICE (CARROT,CELERY, TOMATO, ORANGE, PASSIONFRUIT, PINEAPPLE)",91A7090281249,14-2-00249-2-0054,8851013740498,05/12/2026,"TIPCO F&B CO., LTD.","118/1 TIPCO TOWER, RAMA 6 RD., PHAYATHAI, PHAYATHAI, BANGKOK 10400, THAILAND., Phaya Thai, Khet Phaya Thai, Bangkok, 10400",numphueng@tipco.net,numphueng,035-950851-4 #3606,,https://halal.co.th/storages/products/376343.jpg,Services
"TOPPAN Flexible Packaging (Thailand) Co.,Ltd.",5543A4CSLM06 POUCH 110X160X25 SD OIL CS715/3 100g. (PRINTED),18N9880040468,N/A,048000007155,08/04/2026,"TOPPAN Flexible Packaging (Thailand) Co.,Ltd.","124 Rangsit Business Park Building A, 3rd Floor, Unit 131-132,136 Phahonyothin Road, Prachathipat, Thanyaburi, Pathumthani 12130, Prachathipat, Thanyaburi, Pathum Thani, 12130",,-,-,,https://halal.co.th/storages/products/814315.jpg,Services
