Serial Number,Establishments with Certified Products,Certified Products,Category,Certificate Number,Date of Issue,Date of Expiry,Remark
序號,認 證 廠 商,認 證 產 品 Certified,產品分類,證書字號,發證日,效期至,備註
1,"Prince Pharmaceutical Co., Ltd. 王子製藥股份有限公司","Avance GLO Caps (0.6g/ capsule, 60 capsules/ bottle), Kumuya Glow
Collagen + Vitamin C (5.15 g/ sachets, 30 sachets /box).（Total 2 Items）
Avance穀胱綜
合素膠囊狀食品 (0.6克/顆，60顆/瓶)、無中文品名 (5.15克/包，30包/
盒)（共二項產品）",Healthy Food,AP00707010524,2024/05/10,2026/05/09,(續)
2,Grape King Bio Ltd. 葡萄王生技股份有限公司,"Functional Food series, Semi-Finished Products series.（Total 7 Items）保
健食
品系列、半成品系列（共七項產品）",Healthy Food,AP01502010824,2024/08/28,2026/08/27,(續)
3,"TCI Co., Ltd. 大江生醫股份有限公司","Me laleuca® Triple Up Mix Apple Juice Collagen Drink Blend (60ml/bottle,
10
bottle/ box)（Total 1 Item）無中文品名（共一項產品）",Healthy Food,AP02003010624,2024/06/15,2026/06/14,(續)
4,"TCI Co., Ltd. 大江生醫股份有限公司",Dietary Supplement series（Total 3 Items）保健食品系列（共三項產品）,Healthy Food,AP02006010624,2024/06/11,2026/06/10,(續)
5,"TCI Co., Ltd. 大江生醫股份有限公司","Nn Collagen Plus Liquid Formula (50ml/ bottle, 10 bottles /box)（Total 1
Item）
無中文名稱（共一項產品）",Healthy Food,AP02007010924,2024/09/27,2026/09/26,(續)
6,"TCI Co., Ltd. 大江生醫股份有限公司","Mela leuca Sei Bella Pure Essence Whitening Multi-Berries Drink (50ml
X10
bottles/Box)（Total 1 Item）無中文名稱（共一項產品）",Healthy Food,AP02008010324,2024/03/07,2026/03/06,(續)
7,"TCI Co., Ltd. 大江生醫股份有限公司","MRT Celjoy Go CAPSULE (2 vegetable capsules X30 sachets)（Total 1 Item
）
無中文品名（共一項產品）",Healthy Food,AP02009010324,2024/03/07,2026/03/06,(續)
8,"TCI Co., Ltd. 大江生醫股份有限公司","Korde l’s La Beauté® collagen 8000 (50ml/bottle, 10 bottles/box) (Total 1
Item)
無中文品名 (共一項產品)",Healthy Food,AP02011010823,2023/08/29,2025/08/28,(續)
9,"TCI Co., Ltd. 大江生醫股份有限公司","Blackmores Collagen 10,000mg High Strength (60 ml/bottle, 10 bottles/box)
（
Total 1 Item）無中文名稱（共一項產品）",Healthy Food,AP02014010125,2025/01/09,2027/01/08,(續)
10,"TCI Co., Ltd. 大江生醫股份有限公司","Melaleuca MelaUp 1000 (50ml X10bottles/Box)（Total 1 Item）無中文品
名（共一項產品）",Healthy Food,AP02016010524,2024/05/04,2026/05/03,(續)
11,"TCI Co., Ltd. 大江生醫股份有限公司",Functional Food series（Total 6 Items）保健食品系列（共六項產品）,Healthy Food,AP02026010924,2024/09/14,2026/09/13,(續)
12,"TCI Co., Ltd. 大江生醫股份有限公司","Kinohimitsu COF (6g×30 Sachets/Box)（Total 1 Item）無中文名稱（共一
項產品）",Healthy Food,AP02027010924,2024/09/14,2026/09/13,(續)
13,"TCI Co., Ltd. 大江生醫股份有限公司","S.O.D MORE Dietary Supplement Product (Nutrinal Brand) (600
ml/bottle/Box,
15ml/Sachets, 15 Sachets/Box)（Total 1 Item）無中文品名（共一項產品
）",Healthy Food,AP02029010324,2024/03/24,2026/03/23,(續)
14,"TCI Co., Ltd. 大江生醫股份有限公司","Aviance Collagen Matrix™ (6g X 15 sachets/Box)（Total 1 Item）無中文
名稱
（共一項產品）",Healthy Food,AP02030010124,2024/01/20,2026/01/19,(續)
15,"TCI Co., Ltd. 大江生醫股份有限公司","Melaleuca TriplexJuice (750ml/bottle/box), TriplexJuice (28 ml/Sachets, 15
Sachets/Box).（Total 2 Items）無中文品名、無中文品名（共二項產品）",Healthy Food,AP02031010124,2024/01/20,2026/01/19,(續)
16,"TCI Co., Ltd. 大江生醫股份有限公司","Kinohimitsu M arineGem Collagen TYPE 1 & 3 (180 g /Bag/Box
(Singapore)),
Kinohimitsu MarineGem Collagen TYPE 1 & 3 (180 g /Bag (Malaysia)),
Kinohimitsu Stem Gold+ (180 g /Bag).（Total 3 Items）無中文品名、無
中文
品名、無中文品名（共三項產品）",Healthy Food,AP02032010324,2024/03/24,2026/03/23,(續)
17,"TCI Co., Ltd. 大江生醫股份有限公司","Kinohimitsu Detox Enzyme (14g × 30 sachets/Box), Kinohimitsu Phytox
(14g × 14 sachets/Box) (Total 2 Items) 無中文品名、Kinohimitsu 快通酵
素(14g × 14 sachets/Box) (共二項產品)",Healthy Food,AP02033010823,2023/08/08,2025/08/07,(續)
