Name,Company,Registration No,Brand,Service,Region,Inspector,Phone,Image,Detail Link
–,«QAZQUS» ЖШС,№ 001325,"ҚАЗАҚСТАН МҰСЫЛМАНДАРЫ ДІНИ БАСҚАРМАСЫ
«ХАЛАЛ ДАМУ»СТАНДАРТТАУ ЖӘНЕ СЕРТИФИКАТТАУ ОРТАЛЫҒЫ",Құс фабрикасы,Қарағанды,Амангелді Асқаров,87012342718,https://halaldamu.kz/storage/app/uploads/public/f1a/e4a/bc4/thumb__278_202_0_0_auto.png,https://halaldamu.kz/kk/m/qazqus-zhshs
«ASYLDYN ETI»,«Нарымбетов» ЖК,№ 001265/1,"ҚАЗАҚСТАН МҰСЫЛМАНДАРЫ ДІНИ БАСҚАРМАСЫ
«ХАЛАЛ ДАМУ»СТАНДАРТТАУ ЖӘНЕ СЕРТИФИКАТТАУ ОРТАЛЫҒЫ",Ет дүкені,Алматы қаласы,Терликбаев Омиржан,87472020097,https://halaldamu.kz/storage/app/uploads/public/68f/608/2da/thumb_12999_278_202_0_0_auto.jpg,https://halaldamu.kz/kk/m/narymbetov-zhkdafa
«Bota Life»,«Botalife.kz» ЖК,№ 001292,"ҚАЗАҚСТАН МҰСЫЛМАНДАРЫ ДІНИ БАСҚАРМАСЫ
«ХАЛАЛ ДАМУ»СТАНДАРТТАУ ЖӘНЕ СЕРТИФИКАТТАУ ОРТАЛЫҒЫ",Профилактика,Шымкент қаласы,Сарыбаев Қазбек,87478273622,https://halaldamu.kz/storage/app/uploads/public/68e/ca2/93f/thumb_12866_278_202_0_0_auto.jpg,https://halaldamu.kz/kk/m/botalifekz-zhk
«BAUYRDAQ»,«Сегизбаев» ЖК,№ 001324,"ҚАЗАҚСТАН МҰСЫЛМАНДАРЫ ДІНИ БАСҚАРМАСЫ
«ХАЛАЛ ДАМУ»СТАНДАРТТАУ ЖӘНЕ СЕРТИФИКАТТАУ ОРТАЛЫҒЫ",Тамақтану орындары,Қарағанды,Амангелді Асқаров,87076779696,https://halaldamu.kz/storage/app/uploads/public/68e/ca1/161/thumb_12860_278_202_0_0_auto.jpg,https://halaldamu.kz/kk/m/segizbaev-zhk
«DELISON» «ZingZing» «Chili Man»,«Kzrun Co. Ltd.» ЖК,№ 001323,"ҚАЗАҚСТАН МҰСЫЛМАНДАРЫ ДІНИ БАСҚАРМАСЫ
«ХАЛАЛ ДАМУ»СТАНДАРТТАУ ЖӘНЕ СЕРТИФИКАТТАУ ОРТАЛЫҒЫ",Басқа,Алматы облысы,Жұмабеков Жанәбіл,87008991999,https://halaldamu.kz/storage/app/uploads/public/f1a/e4a/bc4/thumb__278_202_0_0_auto.png,https://halaldamu.kz/kk/m/kzrun-co-ltd-zhk
«NUMMI»,«BREX» ЖК,№ 001322,"ҚАЗАҚСТАН МҰСЫЛМАНДАРЫ ДІНИ БАСҚАРМАСЫ
«ХАЛАЛ ДАМУ»СТАНДАРТТАУ ЖӘНЕ СЕРТИФИКАТТАУ ОРТАЛЫҒЫ",Кондитерлік өнімдері,Астана қаласы,Дулат Қадырұлы,87088510962,https://halaldamu.kz/storage/app/uploads/public/f1a/e4a/bc4/thumb__278_202_0_0_auto.png,https://halaldamu.kz/kk/m/brex-zhk
«Qant bakery»,«Абишева» ЖК,№ 001321,"ҚАЗАҚСТАН МҰСЫЛМАНДАРЫ ДІНИ БАСҚАРМАСЫ
«ХАЛАЛ ДАМУ»СТАНДАРТТАУ ЖӘНЕ СЕРТИФИКАТТАУ ОРТАЛЫҒЫ",Кондитерлік өнімдері,Қарағанды,Амангелді Асқаров,87471779192,https://halaldamu.kz/storage/app/uploads/public/f1a/e4a/bc4/thumb__278_202_0_0_auto.png,https://halaldamu.kz/kk/m/abisheva-zhk
«Zuuray»,«Алимтаева «KEMEL DAN» ЖК,№ 001320,"ҚАЗАҚСТАН МҰСЫЛМАНДАРЫ ДІНИ БАСҚАРМАСЫ
«ХАЛАЛ ДАМУ»СТАНДАРТТАУ ЖӘНЕ СЕРТИФИКАТТАУ ОРТАЛЫҒЫ",Сусын,Шымкент қаласы,Сарыбаев Қазбек,+7,https://halaldamu.kz/storage/app/uploads/public/68f/794/1a2/thumb_13029_278_202_0_0_auto.jpeg,https://halaldamu.kz/kk/m/alimtaeva-kemel-dan-zhk
«АКД» «Raqmet» «АЛАТАУ» «САЛТАНАТ» «АЛҒА»,«Юсупов М.Х.» ЖК,№ 001319,"ҚАЗАҚСТАН МҰСЫЛМАНДАРЫ ДІНИ БАСҚАРМАСЫ
«ХАЛАЛ ДАМУ»СТАНДАРТТАУ ЖӘНЕ СЕРТИФИКАТТАУ ОРТАЛЫҒЫ",Шұжық өндірісі,Алматы қаласы,Терликбаев Омиржан,87003333838,https://halaldamu.kz/storage/app/uploads/public/f1a/e4a/bc4/thumb__278_202_0_0_auto.png,https://halaldamu.kz/kk/m/yusupov-mh-zhk
«Degirmen»,«Акчай» ЖК,№ 001318,"ҚАЗАҚСТАН МҰСЫЛМАНДАРЫ ДІНИ БАСҚАРМАСЫ
«ХАЛАЛ ДАМУ»СТАНДАРТТАУ ЖӘНЕ СЕРТИФИКАТТАУ ОРТАЛЫҒЫ",Тамақтану орындары,Қарағанды,Амангелді Асқаров,87758400183,https://halaldamu.kz/storage/app/uploads/public/68e/c99/91b/thumb_12846_278_202_0_0_auto.png,https://halaldamu.kz/kk/m/akchaj-zhk
